Nombre,Plataforma,Lanzamiento,Genero,V_NA,V_EU,V_JP,V_Otros,V_Global,Score,ESRB,Exito
Furu Furu Park,Wii,2007,Misc,0.05,0.0,0.0,0.0,0.05,43.0,E10+,0
Boogie,PS2,2007,Misc,0.09,0.07,0.0,0.02,0.19,52.0,E10+,0
Mario Party DS,DS,2007,Misc,4.4,1.85,1.98,0.68,8.91,72.0,E,1
WWE SmackDown vs Raw 2008,Wii,2007,Fighting,0.38,0.5,0.0,0.11,0.98,59.0,T,0
Cars: Mater-National Championship,PS2,2007,Racing,0.12,0.09,0.0,0.03,0.25,67.0,E,0
Sega Rally Revo,PC,2007,Racing,0.0,0.01,0.0,0.0,0.01,74.0,E,0
Armored Core 4,X360,2007,Simulation,0.19,0.01,0.03,0.02,0.25,65.0,T,0
Blazing Angels 2: Secret Missions of WWII,PS3,2007,Simulation,0.1,0.03,0.0,0.02,0.15,70.0,T,0
TouchMaster,DS,2007,Puzzle,0.48,1.27,0.0,0.24,2.0,71.0,E10+,1
Apollo Justice: Ace Attorney,DS,2007,Adventure,0.28,0.04,0.64,0.03,0.99,78.0,T,0
Nicktoons: Attack of the Toybots,DS,2007,Platform,0.04,0.0,0.0,0.0,0.05,54.0,E,0
Mercury Meltdown Revolution,Wii,2007,Action,0.16,0.0,0.0,0.01,0.17,77.0,E,0
Fullmetal Alchemist: Trading Card Game,DS,2007,Misc,0.01,0.0,0.0,0.0,0.01,61.0,T,0
Major League Baseball 2K7,PS3,2007,Sports,0.23,0.0,0.0,0.02,0.25,74.0,E,0
Jenga World Tour,Wii,2007,Misc,0.05,0.0,0.0,0.0,0.05,26.0,E,0
Final Fantasy Fables: Chocobo's Dungeon,Wii,2007,Role-Playing,0.09,0.0,0.11,0.01,0.21,76.0,E10+,0
Rayman Raving Rabbids,X360,2007,Misc,0.18,0.01,0.0,0.02,0.21,67.0,E,0
Prism: Light the Way,DS,2007,Puzzle,0.05,0.0,0.0,0.0,0.05,73.0,E,0
Halo 3,X360,2007,Shooter,7.97,2.81,0.13,1.21,12.12,94.0,M,1
Super Mario Galaxy,Wii,2007,Platform,6.06,3.35,1.2,0.74,11.35,97.0,E,1
Hoshigami: Ruining Blue Earth Remix,DS,2007,Role-Playing,0.0,0.0,0.01,0.0,0.01,55.0,T,0
World Heroes Anthology,PS2,2007,Fighting,0.0,0.0,0.01,0.0,0.01,53.0,T,0
Dungeon Explorer: Warriors of Ancient Arts,PSP,2007,Role-Playing,0.01,0.0,0.0,0.0,0.01,56.0,T,0
The Wild West,DS,2007,Action,0.01,0.0,0.0,0.0,0.01,35.0,E10+,0
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,1.35,0.52,0.0,0.19,2.07,73.0,E10+,1
Need for Speed: ProStreet,X360,2007,Racing,1.04,0.79,0.01,0.21,2.05,72.0,E10+,1
Dragon Blade: Wrath of Fire,Wii,2007,Action,0.17,0.0,0.0,0.01,0.18,51.0,T,0
Tony Hawk's Proving Ground,Wii,2007,Sports,0.22,0.01,0.0,0.02,0.25,57.0,T,0
MotoGP '07,X360,2007,Racing,0.23,0.0,0.0,0.02,0.25,78.0,E,0
Juiced 2: Hot Import Nights,PC,2007,Racing,0.0,0.01,0.0,0.0,0.01,61.0,T,0
Grand Theft Auto: Vice City Stories,PS2,2007,Action,0.78,0.03,0.03,0.13,0.97,75.0,M,0
Need for Speed: ProStreet,PS3,2007,Racing,0.73,0.91,0.04,0.36,2.04,73.0,E10+,1
Mario Party 8,Wii,2007,Misc,3.74,2.24,1.58,0.7,8.27,62.0,E,1
Dynasty Warriors Gundam,X360,2007,Action,0.15,0.01,0.02,0.01,0.19,55.0,T,0
Chibi-Robo! Park Patrol,DS,2007,Adventure,0.0,0.0,0.19,0.0,0.19,78.0,E,0
Spider-Man: Friend or Foe,PSP,2007,Action,0.16,0.0,0.0,0.01,0.18,58.0,E10+,0
Tiger Woods PGA Tour 08,Wii,2007,Sports,0.93,0.01,0.0,0.08,1.02,72.0,E,1
FIFA Soccer 08,Wii,2007,Sports,0.32,0.59,0.01,0.11,1.02,65.0,E,1
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,0.34,0.48,0.02,0.19,1.03,84.0,T,1
Theatre Of War,PC,2007,Strategy,0.0,0.01,0.0,0.0,0.01,66.0,T,0
The Simpsons Game,X360,2007,Action,0.54,0.39,0.0,0.11,1.03,71.0,T,1
Fuzion Frenzy 2,X360,2007,Misc,0.14,0.01,0.0,0.01,0.17,49.0,E10+,0
UEFA Champions League 2006-2007,PSP,2007,Sports,0.01,0.0,0.0,0.0,0.01,71.0,E,0
AniMates!,DS,2007,Simulation,0.02,0.0,0.0,0.0,0.03,33.0,E,0
Ontamarama,DS,2007,Action,0.05,0.0,0.0,0.0,0.05,71.0,E,0
Hospital Tycoon,PC,2007,Strategy,0.0,0.01,0.0,0.0,0.01,51.0,E10+,0
LEGO Star Wars: The Complete Saga,Wii,2007,Action,3.57,1.55,0.0,0.51,5.64,80.0,E10+,1
Guitar Hero II,X360,2007,Misc,2.01,0.02,0.0,0.17,2.2,92.0,T,1
Virtua Tennis 3,PS3,2007,Sports,0.23,0.58,0.03,0.21,1.05,80.0,E,1
Clive Barker's Jericho,PC,2007,Shooter,0.0,0.01,0.0,0.0,0.01,63.0,M,0
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,0.87,0.05,0.02,0.08,1.02,86.0,T,1
One Piece: Unlimited Adventure,Wii,2007,Adventure,0.07,0.0,0.11,0.01,0.19,67.0,T,0
Metal Slug Anthology,PS2,2007,Shooter,0.0,0.0,0.01,0.0,0.01,80.0,T,0
NCAA March Madness 07,X360,2007,Sports,0.19,0.0,0.0,0.02,0.21,67.0,E,0
Battlestations: Midway,PC,2007,Strategy,0.0,0.01,0.0,0.0,0.01,76.0,T,0
Viva Pinata,PC,2007,Simulation,0.0,0.02,0.0,0.0,0.02,78.0,E,0
TimeShift,PC,2007,Shooter,0.01,0.0,0.0,0.0,0.01,71.0,M,0
GrimGrimoire,PS2,2007,Strategy,0.01,0.01,0.03,0.0,0.05,79.0,E10+,0
The Simpsons Game,Wii,2007,Action,0.45,0.46,0.0,0.11,1.01,64.0,T,1
The Legend of Spyro: The Eternal Night,Wii,2007,Platform,0.18,0.02,0.0,0.02,0.21,60.0,E10+,0
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,0.69,0.04,0.22,0.06,1.01,80.0,T,1
Dora the Explorer: Dora Saves the Mermaids,DS,2007,Platform,0.97,0.01,0.0,0.07,1.05,44.0,E,1
F.E.A.R. Perseus Mandate,PC,2007,Shooter,0.01,0.0,0.0,0.0,0.01,61.0,M,0
Metal Slug Anthology,PSP,2007,Shooter,0.02,0.0,0.02,0.01,0.05,78.0,T,0
Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,0.44,0.46,0.0,0.11,1.01,74.0,T,1
The Settlers: Rise of an Empire,PC,2007,Strategy,0.01,0.01,0.0,0.0,0.02,66.0,E10+,0
Spider-Man: Friend or Foe,PC,2007,Action,0.01,0.0,0.0,0.0,0.01,57.0,E10+,0
Animal Paradise,DS,2007,Simulation,0.09,0.14,0.0,0.02,0.25,49.0,E,0
Bee Movie Game,X360,2007,Action,0.16,0.0,0.0,0.01,0.17,71.0,E,0
Rail Simulator,PC,2007,Simulation,0.0,0.01,0.0,0.0,0.01,72.0,E,0
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,3.11,2.26,0.28,1.03,6.68,94.0,M,1
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,0.32,0.36,0.26,0.09,1.02,72.0,T,1
WWE SmackDown vs Raw 2008,PS2,2007,Fighting,0.92,0.0,0.01,1.41,2.34,71.0,T,1
Eco Creatures: Save The Forest,DS,2007,Adventure,0.03,0.0,0.0,0.0,0.03,55.0,E,0
Napoleon Dynamite: The Game,PSP,2007,Puzzle,0.03,0.0,0.0,0.0,0.04,37.0,E10+,0
Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,0.33,0.41,0.54,0.1,1.37,81.0,E10+,1
College Hoops 2K8,X360,2007,Sports,0.16,0.0,0.0,0.01,0.18,81.0,E,0
NBA Live 08,Wii,2007,Sports,0.14,0.0,0.0,0.01,0.16,52.0,E,0
Zoo Hospital,DS,2007,Simulation,0.03,0.0,0.0,0.0,0.04,53.0,E,0
The BIGS,PS3,2007,Sports,0.15,0.0,0.0,0.01,0.16,77.0,E,0
Dewy's Adventure,Wii,2007,Platform,0.14,0.0,0.01,0.01,0.16,67.0,E,0
Beowulf: The Game,PS3,2007,Action,0.14,0.01,0.0,0.01,0.16,51.0,M,0
Worms,X360,2007,Strategy,0.0,0.02,0.0,0.0,0.02,75.0,E10+,0
World in Conflict,PC,2007,Strategy,0.0,0.03,0.0,0.01,0.04,89.0,T,0
FIFA Soccer 08,PS2,2007,Sports,0.68,0.0,0.0,2.46,3.14,83.0,E,1
Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,0.19,0.0,0.0,0.02,0.2,57.0,E,0
Tomb Raider: Anniversary,PC,2007,Action,0.0,0.03,0.0,0.01,0.03,83.0,T,0
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,1.69,0.85,0.14,0.43,3.1,93.0,M,1
Garfield's Nightmare,DS,2007,Platform,0.01,0.0,0.0,0.0,0.02,70.0,E,0
Soldier of Fortune: Payback,PS3,2007,Shooter,0.12,0.02,0.0,0.01,0.15,50.0,M,0
Puzzle Quest: Challenge of the Warlords,PSP,2007,Puzzle,0.01,0.0,0.0,0.0,0.02,84.0,E10+,0
Hot Pixel,PSP,2007,Puzzle,0.03,0.0,0.0,0.0,0.03,55.0,T,0
Chili Con Carnage,PSP,2007,Shooter,0.0,0.01,0.0,0.0,0.02,74.0,M,0
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,1.35,0.59,0.8,0.43,3.18,83.0,T,1
Balls of Fury,DS,2007,Sports,0.02,0.0,0.0,0.0,0.02,62.0,E10+,0
WWE SmackDown vs Raw 2008,PS3,2007,Fighting,0.62,0.49,0.01,0.2,1.33,74.0,T,1
Rugby 08,PS2,2007,Sports,0.02,0.01,0.0,0.0,0.04,74.0,E,0
Tony Hawk's Proving Ground,DS,2007,Sports,0.2,0.01,0.0,0.02,0.23,79.0,E10+,0
Personal Trainer: Math,DS,2007,Puzzle,0.48,1.12,0.0,0.08,1.69,63.0,E,1
NEVES,DS,2007,Puzzle,0.01,0.0,0.0,0.0,0.02,70.0,E,0
Monster Hunter Freedom 2,PSP,2007,Role-Playing,0.37,0.27,1.75,0.18,2.57,72.0,T,1
TimeShift,PS3,2007,Shooter,0.14,0.0,0.0,0.01,0.16,70.0,M,0
Soldier of Fortune: Payback,X360,2007,Shooter,0.18,0.0,0.0,0.02,0.2,50.0,M,0
Star Wars Battlefront: Renegade Squadron,PSP,2007,Shooter,0.9,0.46,0.0,0.32,1.67,73.0,T,1
Madden NFL 08,PS2,2007,Sports,2.14,0.08,0.0,0.35,2.57,78.0,E,1
Bubble Bobble Double Shot,DS,2007,Puzzle,0.03,0.0,0.0,0.0,0.04,50.0,E,0
Bionicle Heroes,Wii,2007,Shooter,0.03,0.0,0.0,0.0,0.04,52.0,E10+,0
Bomberman Land,Wii,2007,Misc,0.11,0.01,0.03,0.01,0.17,57.0,E,0
Harry Potter and the Order of the Phoenix,PC,2007,Action,0.0,0.03,0.0,0.0,0.04,63.0,E10+,0
FIFA Soccer 08,X360,2007,Sports,0.31,0.89,0.01,0.14,1.35,82.0,E,1
Enchanted Arms,PS3,2007,Role-Playing,0.17,0.01,0.0,0.02,0.2,64.0,T,0
FIFA Soccer 08,PSP,2007,Sports,0.2,0.76,0.0,0.39,1.35,79.0,E,1
LEGO Star Wars: The Complete Saga,X360,2007,Action,1.53,0.81,0.0,0.24,2.57,80.0,E10+,1
Legend: Hand of God,PC,2007,Role-Playing,0.0,0.02,0.0,0.0,0.02,57.0,M,0
Thrillville: Off the Rails,X360,2007,Strategy,0.13,0.02,0.0,0.01,0.16,73.0,E10+,0
Puzzle Guzzle,PSP,2007,Puzzle,0.02,0.0,0.0,0.0,0.02,65.0,E,0
Sonic Rivals 2,PSP,2007,Racing,0.44,0.67,0.0,0.37,1.48,60.0,E,1
Monster Jam,X360,2007,Racing,0.18,0.0,0.0,0.02,0.2,43.0,E,0
BioShock,X360,2007,Shooter,1.65,0.85,0.05,0.28,2.83,96.0,M,1
B-17: Fortress in the Sky,DS,2007,Simulation,0.02,0.0,0.0,0.0,0.02,38.0,E10+,0
N+,PSP,2007,Platform,0.03,0.0,0.0,0.0,0.03,79.0,E,0
Legend of the Dragon,PSP,2007,Fighting,0.03,0.0,0.0,0.0,0.03,38.0,T,0
SpongeBob's Atlantis SquarePantis,DS,2007,Action,1.49,0.0,0.0,0.11,1.6,64.0,E,1
Aliens vs Predator: Requiem,PSP,2007,Action,0.03,0.12,0.0,0.07,0.22,49.0,T,0
The Simpsons Game,DS,2007,Action,0.56,0.77,0.0,0.17,1.51,69.0,T,1
The Simpsons Game,PS2,2007,Action,0.35,0.03,0.0,1.13,1.51,68.0,T,1
Flipper Critters,DS,2007,Simulation,0.03,0.0,0.0,0.0,0.03,60.0,E,0
Resident Evil: The Umbrella Chronicles,Wii,2007,Action,0.67,0.43,0.29,0.14,1.52,75.0,M,1
Underground Pool,DS,2007,Sports,0.03,0.0,0.0,0.0,0.03,40.0,E,0
Hellgate: London,PC,2007,Role-Playing,0.0,0.02,0.0,0.0,0.02,70.0,M,0
Pro Evolution Soccer 2008,PS3,2007,Sports,0.04,1.1,0.32,0.13,1.59,74.0,E,1
Sonic and the Secret Rings,Wii,2007,Platform,1.21,1.19,0.04,0.29,2.73,69.0,E,1
Combat Mission: Shock Force,PC,2007,Strategy,0.0,0.03,0.0,0.0,0.03,62.0,T,0
Chicken Hunter,DS,2007,Shooter,0.02,0.0,0.0,0.0,0.02,39.0,E10+,0
Heavenly Sword,PS3,2007,Action,0.57,0.72,0.06,0.29,1.65,79.0,T,1
Jackass the Game,PSP,2007,Action,0.09,0.08,0.0,0.05,0.22,58.0,M,0
Cooking Mama: Cook Off,Wii,2007,Simulation,1.41,1.12,0.05,0.3,2.89,61.0,E,1
MySims,Wii,2007,Simulation,0.9,0.54,0.04,0.17,1.65,68.0,E,1
Spider-Man 3,PC,2007,Platform,0.02,0.0,0.0,0.0,0.02,62.0,T,0
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,1.15,0.0,0.76,1.09,3.0,73.0,T,1
Smarty Pants,Wii,2007,Misc,0.52,0.75,0.0,0.16,1.43,65.0,E,1
Dinosaur King,DS,2007,Strategy,0.2,0.0,0.0,0.02,0.22,61.0,E,0
WWE SmackDown vs Raw 2008,X360,2007,Fighting,0.92,0.38,0.0,0.13,1.43,71.0,T,1
My Word Coach,DS,2007,Misc,0.37,0.89,0.0,0.18,1.44,71.0,E,1
SingStar Pop,PS2,2007,Misc,0.04,1.08,0.0,0.32,1.44,73.0,E10+,1
Pet Alien: An Intergalactic Puzzlepalooza,DS,2007,Action,0.03,0.0,0.0,0.0,0.03,58.0,E,0
Women's Volleyball Championship,PS2,2007,Sports,0.0,0.0,0.03,0.0,0.03,32.0,E,0
Clive Barker's Jericho,PS3,2007,Shooter,0.17,0.01,0.0,0.02,0.2,60.0,M,0
Mario Strikers Charged,Wii,2007,Sports,1.05,1.05,0.24,0.24,2.58,79.0,E10+,1
Guitar Hero III: Legends of Rock,PC,2007,Misc,0.02,0.0,0.0,0.0,0.02,79.0,T,0
Nervous Brickdown,DS,2007,Puzzle,0.0,0.01,0.0,0.0,0.02,70.0,E,0
Naruto Shippuden: Ninja Council 4,DS,2007,Action,0.08,0.0,0.13,0.01,0.22,49.0,E10+,0
Touch the Dead,DS,2007,Shooter,0.2,0.0,0.0,0.02,0.22,56.0,M,0
Mass Effect,X360,2007,Role-Playing,1.83,0.79,0.03,0.27,2.91,91.0,M,1
Dragon Quest IV: Chapters of the Chosen,DS,2007,Role-Playing,0.3,0.02,1.27,0.03,1.62,80.0,E10+,1
Meteos: Disney Magic,DS,2007,Puzzle,0.01,0.02,0.0,0.0,0.04,74.0,E,0
Supreme Commander: Forged Alliance,PC,2007,Strategy,0.01,0.02,0.0,0.0,0.04,81.0,E10+,0
Cube,PSP,2007,Puzzle,0.02,0.0,0.0,0.0,0.02,60.0,E,0
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,2.57,1.52,0.0,0.0,4.09,91.0,T,1
God of War II,PS2,2007,Action,2.32,0.04,0.04,1.67,4.07,93.0,M,1
The Orange Box,X360,2007,Shooter,1.09,0.53,0.02,0.17,1.82,96.0,M,1
Thrillville: Off the Rails,DS,2007,Strategy,0.03,0.01,0.0,0.0,0.04,59.0,E,0
Forza Motorsport 2,X360,2007,Racing,2.35,1.27,0.03,0.41,4.05,90.0,E,1
Viva Pinata: Party Animals,X360,2007,Misc,0.19,0.02,0.0,0.02,0.23,56.0,E,0
Carnival Games,Wii,2007,Misc,2.12,1.47,0.05,0.42,4.05,56.0,E,1
WWE SmackDown vs Raw 2008,PSP,2007,Fighting,0.45,0.47,0.0,0.28,1.19,68.0,T,1
Lost in Blue 3,DS,2007,Adventure,0.09,0.02,0.06,0.01,0.17,59.0,E10+,0
Dead Head Fred,PSP,2007,Action,0.04,0.0,0.0,0.0,0.04,75.0,M,0
Godzilla Unleashed,Wii,2007,Fighting,0.14,0.0,0.0,0.01,0.16,44.0,E10+,0
Pocket Pool,PSP,2007,Action,0.04,0.0,0.0,0.0,0.04,37.0,M,0
Gears of War,PC,2007,Shooter,0.0,0.01,0.0,0.0,0.02,87.0,M,0
Professor Layton and the Diabolical Box,DS,2007,Puzzle,0.9,1.76,0.92,0.37,3.94,84.0,E10+,1
Zoey 101: Field Trip Fiasco,DS,2007,Action,0.02,0.0,0.0,0.0,0.02,31.0,E,0
Need for Speed: ProStreet,PC,2007,Racing,0.0,0.04,0.0,0.01,0.04,70.0,E10+,0
The Sims 2: Castaway,Wii,2007,Simulation,0.44,0.63,0.0,0.14,1.2,73.0,T,1
Need for Speed: ProStreet,PS2,2007,Racing,0.69,0.0,0.04,1.68,2.41,62.0,E10+,1
Metroid Prime 3: Corruption,Wii,2007,Shooter,0.89,0.74,0.07,0.09,1.79,90.0,T,1
Smash Court Tennis 3,PSP,2007,Sports,0.01,0.01,0.01,0.01,0.04,68.0,E,0
Enemy Territory: Quake Wars,PC,2007,Shooter,0.01,0.0,0.0,0.0,0.02,84.0,T,0
The Godfather: Blackhand Edition,Wii,2007,Adventure,0.14,0.0,0.0,0.01,0.15,77.0,M,0
Hot Shots Golf: Out of Bounds,PS3,2007,Sports,0.31,0.03,0.76,0.04,1.14,81.0,E,1
FIFA Soccer 08,PC,2007,Sports,0.0,0.01,0.0,0.0,0.02,77.0,E,0
Ninja Gaiden Sigma,PS3,2007,Action,0.57,0.32,0.09,0.16,1.14,88.0,M,1
Rayman Raving Rabbids 2,Wii,2007,Misc,0.82,0.82,0.0,0.2,1.83,67.0,E10+,1
Call of Duty 4: Modern Warfare,PC,2007,Shooter,0.0,1.12,0.0,0.03,1.15,92.0,M,1
Castle of Shikigami III,Wii,2007,Shooter,0.04,0.0,0.0,0.0,0.04,67.0,T,0
Konami Classics Series: Arcade Hits,DS,2007,Misc,0.01,0.0,0.02,0.0,0.03,76.0,E10+,0
Test Drive Unlimited,PC,2007,Racing,0.0,0.02,0.0,0.0,0.02,79.0,T,0
Medal of Honor Heroes 2,PSP,2007,Shooter,0.5,0.39,0.02,0.25,1.15,69.0,T,1
NASCAR 08,PS2,2007,Racing,0.12,0.09,0.0,0.03,0.24,56.0,E,0
Madden NFL 08,X360,2007,Sports,2.18,0.01,0.0,0.18,2.37,85.0,E,1
Sonic Rush Adventure,DS,2007,Platform,0.53,0.48,0.01,0.12,1.15,78.0,E,1
City Life: World Edition,PC,2007,Simulation,0.0,0.04,0.0,0.0,0.04,75.0,E,0
Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,0.45,0.24,0.3,0.16,1.16,88.0,T,1
Conan,X360,2007,Action,0.16,0.02,0.0,0.01,0.19,69.0,M,0
All-Pro Football 2K8,PS3,2007,Sports,0.14,0.0,0.0,0.01,0.15,73.0,E10+,0
Gran Turismo 5 Prologue,PS3,2007,Racing,1.28,1.82,0.57,0.52,4.19,80.0,E,1
Medal of Honor: Airborne,PS3,2007,Shooter,0.25,0.69,0.03,0.25,1.21,75.0,T,1
Final Fantasy IV,DS,2007,Simulation,0.51,0.04,0.62,0.05,1.21,85.0,E10+,1
Disney's Meet the Robinsons,DS,2007,Action,0.02,0.0,0.0,0.0,0.02,64.0,E10+,0
Rockstar Games presents Table Tennis,Wii,2007,Sports,0.39,0.72,0.0,0.15,1.26,68.0,E,1
Samurai Warriors 2: Empires,X360,2007,Action,0.03,0.0,0.01,0.0,0.04,53.0,T,0
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,1.6,1.49,0.1,0.39,3.58,70.0,E,1
Surf's Up,PS3,2007,Sports,0.03,0.0,0.0,0.0,0.04,59.0,E10+,0
Deal or No Deal,DS,2007,Misc,1.15,0.4,0.0,0.15,1.7,20.0,E,1
SWAT: Target Liberty,PSP,2007,Shooter,0.03,0.0,0.0,0.0,0.04,50.0,T,0
EA Playground,Wii,2007,Sports,0.68,0.47,0.0,0.13,1.29,66.0,E,1
Empire Earth III,PC,2007,Strategy,0.0,0.03,0.0,0.01,0.04,50.0,T,0
Mortal Kombat: Armageddon,Wii,2007,Fighting,0.19,0.02,0.0,0.02,0.23,71.0,M,0
Namco Museum DS,DS,2007,Misc,1.13,0.01,0.06,0.09,1.29,67.0,E,1
Resident Evil 4,PC,2007,Action,0.0,0.02,0.0,0.0,0.03,76.0,M,0
NCAA March Madness 08,X360,2007,Sports,0.2,0.0,0.0,0.02,0.21,69.0,E,0
NBA 08,PSP,2007,Sports,0.03,0.0,0.0,0.0,0.03,75.0,E,0
Brothers In Arms DS,DS,2007,Shooter,0.03,0.0,0.0,0.0,0.04,72.0,T,0
TMNT,DS,2007,Action,0.03,0.01,0.0,0.0,0.04,42.0,E10+,0
Ratatouille,GBA,2007,Action,0.14,0.05,0.0,0.0,0.2,65.0,E,0
The Fast and the Furious,PSP,2007,Racing,0.02,0.0,0.0,0.0,0.02,58.0,T,0
Company of Heroes: Opposing Fronts,PC,2007,Strategy,0.01,0.03,0.0,0.01,0.04,87.0,M,0
Game Party,Wii,2007,Misc,1.47,0.77,0.0,0.24,2.48,25.0,E,1
Pro Evolution Soccer 2008,PS2,2007,Sports,0.05,0.0,0.64,2.93,3.63,82.0,E,1
Overlord,PC,2007,Strategy,0.0,0.02,0.0,0.0,0.02,81.0,T,0
Balls of Fury,Wii,2007,Sports,0.02,0.0,0.0,0.0,0.02,19.0,E10+,0
Arcana Heart,PS2,2007,Fighting,0.06,0.05,0.04,0.02,0.16,77.0,T,0
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,0.86,1.56,1.05,0.35,3.83,59.0,E,1
Diddy Kong Racing DS,DS,2007,Racing,1.09,0.03,0.0,0.09,1.22,63.0,E,1
Big Brain Academy: Wii Degree,Wii,2007,Misc,1.05,1.91,0.41,0.42,3.79,68.0,E,1
Super Paper Mario,Wii,2007,Platform,1.95,0.86,0.59,0.31,3.71,85.0,E,1
Dementium: The Ward,DS,2007,Shooter,0.15,0.01,0.0,0.01,0.17,72.0,M,0
Ben 10: Protector of Earth,Wii,2007,Action,0.54,0.55,0.0,0.13,1.23,63.0,E10+,1
SoulCalibur Legends,Wii,2007,Action,0.16,0.01,0.0,0.01,0.18,52.0,T,0
College Hoops 2K7,PS3,2007,Sports,0.16,0.0,0.0,0.01,0.18,81.0,E,0
Looney Tunes: Acme Arsenal,Wii,2007,Action,0.21,0.01,0.0,0.02,0.23,27.0,E10+,0
FIFA Soccer 08,PS3,2007,Sports,0.35,1.06,0.02,0.31,1.75,81.0,E,1
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,0.45,0.67,0.0,0.12,1.24,52.0,E,1
NASCAR 08,PS3,2007,Racing,0.15,0.05,0.0,0.03,0.23,57.0,E,0
Crackdown,X360,2007,Shooter,1.0,0.53,0.03,0.18,1.75,83.0,M,1
MySims,DS,2007,Simulation,1.58,1.59,0.08,0.41,3.66,67.0,E,1
Warriors Orochi,X360,2007,Action,0.17,0.01,0.0,0.02,0.2,53.0,T,0
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,0.47,0.53,0.03,0.22,1.25,86.0,M,1
Guilty Gear XX Accent Core,Wii,2007,Fighting,0.03,0.0,0.0,0.0,0.04,75.0,T,0
Jewel Quest: Expeditions,DS,2007,Puzzle,0.03,0.17,0.0,0.01,0.22,68.0,E,0
Prince of Persia: Rival Swords,PSP,2007,Action,0.08,0.02,0.0,0.01,0.11,74.0,T,0
Domino Rally,Wii,2007,Action,0.05,0.0,0.0,0.0,0.05,57.0,E,0
Clive Barker's Jericho,X360,2007,Shooter,0.28,0.01,0.0,0.02,0.32,63.0,M,0
Dance Dance Revolution Universe 2,X360,2007,Simulation,0.46,0.0,0.0,0.04,0.5,65.0,E10+,0
Test Drive Unlimited,PSP,2007,Racing,0.08,0.27,0.0,0.15,0.5,80.0,E10+,0
Final Fantasy II Anniversary Edition,PSP,2007,Role-Playing,0.36,0.02,0.07,0.04,0.5,63.0,T,0
Picross DS,DS,2007,Puzzle,0.17,0.02,0.3,0.02,0.5,83.0,E,0
Crash of the Titans,X360,2007,Action,0.27,0.02,0.0,0.02,0.32,65.0,E10+,0
7 Wonders of the Ancient World,DS,2007,Puzzle,0.1,0.01,0.0,0.01,0.13,60.0,E,0
Shrek the Third,PSP,2007,Action,0.08,0.15,0.0,0.09,0.31,57.0,E10+,0
MLB 07: The Show,PS3,2007,Sports,0.29,0.0,0.0,0.02,0.31,77.0,E,0
Ratatouille,Wii,2007,Action,0.43,0.03,0.0,0.04,0.5,62.0,E,0
Fishing Master,Wii,2007,Misc,0.29,0.0,0.0,0.02,0.31,58.0,E,0
My Word Coach,Wii,2007,Misc,0.46,0.01,0.0,0.04,0.51,68.0,E,0
The BIGS,PS2,2007,Sports,0.25,0.19,0.0,0.06,0.51,71.0,E,0
Zoids Assault,X360,2007,Strategy,0.08,0.0,0.0,0.01,0.09,46.0,T,0
Ratatouille,PS3,2007,Action,0.09,0.32,0.0,0.1,0.51,55.0,E,0
WipEout Pulse,PSP,2007,Racing,0.13,0.12,0.0,0.06,0.31,82.0,E10+,0
Lair,PS3,2007,Action,0.36,0.03,0.08,0.04,0.51,53.0,T,0
NBA 08,PS2,2007,Sports,0.06,0.05,0.0,0.02,0.13,59.0,E,0
Puzzle de Harvest Moon,DS,2007,Puzzle,0.12,0.0,0.0,0.01,0.13,41.0,E,0
Manhunt 2,PSP,2007,Action,0.04,0.17,0.0,0.09,0.31,69.0,M,0
El Tigre: The Adventures of Manny Rivera,DS,2007,Platform,0.08,0.0,0.0,0.01,0.09,53.0,E,0
Silent Hill: Origins,PSP,2007,Action,0.22,0.15,0.04,0.1,0.52,78.0,M,0
Summon Night: Twin Age,DS,2007,Role-Playing,0.07,0.0,0.05,0.01,0.13,73.0,E10+,0
NBA Live 08,X360,2007,Sports,0.47,0.0,0.0,0.04,0.52,73.0,E,0
The Golden Compass,PS2,2007,Action,0.13,0.0,0.0,0.39,0.52,46.0,E10+,0
NBA Street Homecourt,X360,2007,Sports,0.45,0.01,0.0,0.04,0.5,80.0,E,0
Stuntman: Ignition,PS3,2007,Racing,0.17,0.26,0.0,0.1,0.52,76.0,T,0
Baroque,PS2,2007,Role-Playing,0.05,0.04,0.02,0.01,0.13,60.0,T,0
